Article,FA,LA,Title,SelfCite,CitationKey
68,Cristine,Cristine,,N,Legare2019
69,AL,,,N,VanTilburg1996
70,Debra,Philip,,N,Reece2000
71,Craig,Richard,,N,Smith1990
72,Theodore,Theodore,,N,Graves1967
73,James,James,,N,Cote2009
74,Dina,Corrina,,N,Birman2014c
75,Micah,Cassia,,N,Peters2015
76,David,Brit,,N,Sam2003
77,Walter,Anne,,N,Stephan2000a
78,Alison,Andrew,,N,Cooke2012
79,Markus,Markus,,N,Eronen2021
80,Keith,Roger,,N,Harris2015
81,Aarti,Colin,,N,Iyer2008
82,Tomomi,Tomomi,,N,Matsudaira2006
83,Gerald,Guido,,N,Echterhoff2020
84,Alastair,Alison,,N,Ager2008a
85,Wendy,Colleen,,N,Searle1990
86,Joshua,William,,N,Wilt2016
87,Floyd,Floyd,,N,Rudmin2003a
88,Hilary,Lisa,,N,Arksey2005
89,Phyllis,Peter,,N,Wallace2010
90,Stephen,Steven,,N,Castels2003
91,AnneMarie,Colleen,,N,Masgoret2006
92,Paul,Paul,,N,DiMaggio1997
93,Claudia,Colleen,,N,Recker2017a
94,John,John,,N,Berry1997b
95,William,William,,N,Bevan1965
96,Sunil,Anjali,,N,Bhatia2001
97,Michael,Michael,,N,Maestas2000
98,,,,N,Pogue1998
99,David,John,,N,Sam2006a
100,Manfred,Wolfgang,,N,Holodynski2012
101,Javier,William,,N,Escobar2000
102,Ernesto,Ernesto,,N,Panadero2017
103,Dharm,Dharm,,N,Bhawuk2011
104,Ao,Shunxiang,,N,Guo2020
105,David,Douglas,,N,Moher2009
106,Nolan,Winnie,,N,Zane2004
107,Patricia,Patricia,,N,Herzog2018
108,Hazel,Shinobu,,N,Markus1991
109,David,David,,N,Sam2006b
110,Miri,Miri,,N,Song2009
111,Boris,Filip,,N,Snauwaert2003
112,Cookie,Walter,,N,Stephan1992
113,Dumitru,Elena,,N,Sandu2018
114,Richard,Ara,,N,Nisbett2002
115,Beatrice,Beatrice,,N,Whiting1980
116,John,John,,N,Berry2003
117,Rupert,Hanna,,N,Brown2011
118,Nurit,Arie,,N,Shnabel2008a
119,Robert,Melville,,N,Redfield1936
120,John,Miles,,N,Dovidio2017
121,Nardi,Siegwart,,N,Steverink2006
122,Tabea,Jessica,,N,Hassler2021
123,John,John,,N,Berry2009
124,Zofia,Zofia,,N,Czajkowska2017
125,Pamela,Wayne,,N,Shoemaker1985
126,Colleen,Agnes,,N,Ward2019
127,Carl,Jieying,,N,Maertz2016
128,Jayanthi,Jean,,N,Mistry2010
129,John,John,,N,Berry1998
130,Gerardo,Eliseo,,N,Marin1987
131,Elizabeth,Hope,,N,Klonoff2000
132,Bryan,Peggy,,N,Kim1999
133,David,Gabriel,,N,Sam2006
134,,,,N,Jhangiani2014
135,Ahlam,Jerry,,N,Jadalla2015
136,Sara,Marta,,N,Schaefer2009
137,Tiziana,Benedetta,,N,Mancini2014
138,Corrina,Dina,,N,Salo2015
139,Eun,Wonshik,,N,Im2009
140,Jozefien,Jozefien,,N,DeLeersnyder2017
141,Jessie,Jessie,,N,Wilson2013
142,Marisol,Juan,,N,Navas2005
143,Olga,Athanasios,,N,Kouli2009
144,Simon,Seth,,N,Ozer2016
145,Annet,Judit,,N,TeLindert2008a
146,Alonso,Alonso,,N,Duarte2020
147,Eric,Mitchell,,N,Uslaner2005
148,JeeSook,JeeSook,,N,Lee2004b
149,Maykel,Borja,,N,Verkuyten2012
150,Hoi,Yoon,,N,Jeong2016
151,Claudia,Colleen,,N,Recker2017
152,Israel,Roberto,,N,Cuellar1995a
153,Ruth,Jose,,N,GimChung2004
154,Margaret,Margaret,,N,Stephenson2000
155,Andrew,Delroy,,N,Ryder2000
156,Dina,Andrey,,N,Birman2002
157,William,William,,N,Rezentes1993
158,Dharma,Robert,,N,Cortes1994
159,Richard,Gillian,,N,Suinn1992
160,Paul,Paul,,N,Ghuman2000
161,Jeanne,Peter,,N,Tsai2000
162,John,,,N,Berry1989
163,Mark,Agata,,N,Loon2021
164,Marius,Marius,,N,Luedicke2011
165,Jennifer,Jennifer,,N,Wood2014
166,Alexandra,Alexandra,,N,Robinson2019
167,Gloria,Gloria,,N,Anzaldua1987
168,Eugene,Eugene,,N,Tartakovsky2012
169,Martha,Pamela,,N,Baird2015
170,Byeong,Denise,,N,Kim2019
171,Rose,Ilona,,N,Perez2019
172,Richard,Carol,,N,Suinn1995
173,Jean,Jean,,N,Phinney1992
174,Maren,Donald,,N,Wolfe2001
175,Heajong,Neil,,N,Shin1999
176,Andrey,Dina,,N,Vinokurov2002
177,Eva,Jenny,,N,Green2014
178,Marisol,Pablo,,N,Navas2007
179,Niklas,Jens,,N,Harder2018
180,Eugene,Earle,,N,Tull2003
181,Nigar,Mairead,,N,Khawaja2019
182,Peter,Peter,,N,Weinreich2009
183,Dermot,Ciaran,,N,Ryan2008
184,Aida,Mila,,N,Hajro2019
185,Mirsad,Krista,,N,Serdarevic2005
186,Amado,William,,N,Padilla2003
187,Jeannette,Hans,,N,Riedel2011
188,Young,Young,,N,Kim1988
189,Lloyd,Lloyd,,N,Rogler1994
190,Teemu,Pasi,,N,Kemppainen2020
191,Saba,Ward,,N,Safdar2003
192,Colleen,Nicolas,,N,Ward2016
193,Cornelius,Ingemar,,N,Grove1985
194,Irina,Rainer,,N,Mchitarjan2015
195,Morten,Morten,,N,Pedersen2020
196,,,,N,UnitedNations2007
